,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,373042.9199999984,176072.82999999993,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,11503.230000000007,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,13367067460.562132,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    0    53460.929489          26.0  2018
1       300.000000    0    53323.976240          52.0  2018
2       297.739597    0    49719.296516          78.0  2018
3        73.602706    0    44670.462348         104.0  2018
4        73.602706    0    44634.468225         130.0  2018
5        69.730726    0    41728.601229         156.0  2018
6        69.730726    0    41362.514662         182.0  2018
7        69.730726    0    41334.421688         208.0  2018
8        69.730726    0    41135.137154         234.0  2018
9        67.333621    0    40786.608695         260.0  2018
10       67.333621    0    40669.847272         286.0  2018
11       67.333621    0    40446.859291         312.0  2018
12       64.857826    0    39359.134455         338.0  2018
13       62.492599    0    38407.484961         364.0  2018
14       58.120925    0    32999.587470         390.0  2018
15       56.541446    0    30881.201650         416.0  2018
16       53.591257    0    23563.859833         442.0  2018
17       51.924663    0    21009.155012         468.0  2018
18       51.679716    0    19918.796459         494.0  2018
19       51.679716    0    19528.128540         520.0  2018
20       49.638892    0    17781.974625         546.0  2018
21       48.644137    0    16671.424248         572.0  2018
22       47.455261    0    15272.042981         598.0  2018
23       47.455261    0    14879.619251         624.0  2018",1186.4084110563397
1,251167.14000000022,185897.26999999973,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,7571996389.214571,"    accepted_price  day  segment_demand  segment_hour  year
0        71.631866    1    43795.190628          31.0  2018
1        70.594864    1    42662.692614          62.0  2018
2        59.298445    1    37967.654337          93.0  2018
3        59.246651    1    37065.167548         124.0  2018
4        58.732997    1    35073.200112         155.0  2018
5        58.732997    1    34444.619819         186.0  2018
6        58.732997    1    34438.474481         217.0  2018
7        57.411938    1    33439.418093         248.0  2018
8        58.732997    1    33274.371871         279.0  2018
9        57.411938    1    33129.517474         310.0  2018
10       56.990839    1    32486.012789         341.0  2018
11       57.411938    1    32472.844207         372.0  2018
12       56.545344    1    29683.738634         403.0  2018
13       54.872288    1    28532.804606         434.0  2018
14       52.374352    1    24279.352764         465.0  2018
15       51.304900    1    22455.943172         496.0  2018
16       49.882528    1    22197.838973         527.0  2018
17       49.882528    1    21881.793016         558.0  2018
18       48.589310    1    18903.937774         589.0  2018
19       48.446942    1    18600.182493         620.0  2018
20       48.267635    1    17278.056905         651.0  2018
21       47.016345    1    14579.375591         682.0  2018
22       47.225890    1    14212.411119         713.0  2018
23       45.431247    1    13149.267635         744.0  2018",930.3543913434607
2,380641.19999999844,166859.84999999983,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12765.2,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,16992940856.998497,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    2    54426.030454          32.0  2018
1       300.000000    2    53884.982059          64.0  2018
2       300.000000    2    50413.405650          96.0  2018
3        74.150961    2    45727.637024         128.0  2018
4        79.814498    2    45427.255641         160.0  2018
5        68.813752    2    42956.347334         192.0  2018
6        68.324751    2    42786.251852         224.0  2018
7        68.813752    2    42409.870360         256.0  2018
8        68.324751    2    42400.822728         288.0  2018
9        68.324751    2    41896.869624         320.0  2018
10       68.813752    2    41871.536254         352.0  2018
11       66.952166    2    40675.439300         384.0  2018
12       65.293078    2    39488.389979         416.0  2018
13       65.856089    2    38835.150946         448.0  2018
14       60.099044    2    32145.331826         480.0  2018
15       59.247754    2    31730.045516         512.0  2018
16       56.358577    2    24305.558675         544.0  2018
17       53.186322    2    19332.075351         576.0  2018
18       53.052070    2    19161.979868         608.0  2018
19       53.052070    2    18278.026219         640.0  2018
20       50.226949    2    15866.832284         672.0  2018
21       48.231843    2    14201.163228         704.0  2018
22       48.231843    2    13252.066629         736.0  2018
23       45.703731    2    12594.303781         768.0  2018",1183.8841030903002
3,358575.23999999854,218051.8499999996,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,10115.16000000001,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,33701184806.15102,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    3    56228.171469          33.0  2018
1       300.000000    3    55719.733689          66.0  2018
2       300.000000    3    53599.996768          99.0  2018
3       297.739597    3    49306.314487         132.0  2018
4       296.087707    3    49075.461304         165.0  2018
5        70.131973    3    44260.256446         198.0  2018
6        71.178385    3    43690.133201         231.0  2018
7        69.444024    3    43644.336415         264.0  2018
8        65.293078    3    43081.690195         297.0  2018
9        65.972182    3    42813.451881         330.0  2018
10       65.136453    3    42537.736541         363.0  2018
11       65.293078    3    42477.920332         396.0  2018
12       64.397184    3    42238.655494         429.0  2018
13       64.167912    3    42098.461253         462.0  2018
14       59.379682    3    34995.286387         495.0  2018
15       57.900896    3    34437.313308         528.0  2018
16       53.433488    3    26364.928923         561.0  2018
17       51.774905    3    21314.197742         594.0  2018
18       49.096482    3    20233.767459         627.0  2018
19       48.511757    3    19151.467921         660.0  2018
20       47.126107    3    16961.633879         693.0  2018
21       43.077327    3    15791.479283         726.0  2018
22       43.077327    3    14715.722142         759.0  2018
23       35.245691    3    14166.160718         792.0  2018",1247.8931398262978
4,215072.64000000028,70144.88999999991,22586.108026500027,29595.668287999968,3118.366924449977,146866.47834320008,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,21342639611.429073,"    accepted_price  day  segment_demand  segment_hour  year
0        58.459864    4    31411.921592          43.0  2018
1        57.298822    4    30082.880189          86.0  2018
2        57.298822    4    29870.719571         129.0  2018
3        57.298822    4    29461.352388         172.0  2018
4        57.153654    4    28508.031551         215.0  2018
5        57.153654    4    28072.494776         258.0  2018
6        57.153654    4    28050.998326         301.0  2018
7        56.593719    4    27900.523174         344.0  2018
8        57.153654    4    27769.675216         387.0  2018
9        56.180491    4    26452.783981         430.0  2018
10       56.180491    4    25864.902798         473.0  2018
11       55.617903    4    25630.311102         516.0  2018
12       55.303375    4    25503.201657         559.0  2018
13       55.303375    4    25302.256578         602.0  2018
14       55.303375    4    24515.299573         645.0  2018
15       51.785313    4    18300.021565         688.0  2018
16       51.330246    4    18293.479167         731.0  2018
17       44.573333    4    11550.136185         774.0  2018
18       24.713635    4     9961.268122         817.0  2018
19       12.086412    4     7540.580898         860.0  2018
20       11.431776    4     6045.175663         903.0  2018
21       10.593192    4     5810.583967         946.0  2018
22        9.788650    4     5039.515642         989.0  2018
23        9.788650    4     4996.522742        1032.0  2018",593.1186264562197
5,396836.819999998,187313.73999999993,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,11937.305000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,39695625209.78316,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    5    54964.712794          53.0  2018
1       300.000000    5    54958.524468         106.0  2018
2       300.000000    5    51219.007385         159.0  2018
3        87.030464    5    46640.530086         212.0  2018
4        86.990761    5    46522.951890         265.0  2018
5        71.303663    5    43854.899276         318.0  2018
6        71.303663    5    43836.334297         371.0  2018
7        71.303663    5    43688.698517         424.0  2018
8        71.026797    5    43510.121105         477.0  2018
9        71.303663    5    43506.584919         530.0  2018
10       67.843188    5    42936.374867         583.0  2018
11       66.430546    5    41571.406929         636.0  2018
12       66.430546    5    41139.992193         689.0  2018
13       62.872050    5    39632.692754         742.0  2018
14       59.041234    5    33960.649821         795.0  2018
15       59.001928    5    32856.475628         848.0  2018
16       56.087413    5    26494.876354         901.0  2018
17       53.955721    5    21902.254310         954.0  2018
18       52.215432    5    21463.767201        1007.0  2018
19       52.215432    5    20926.266873        1060.0  2018
20       51.251319    5    19669.152619        1113.0  2018
21       50.517569    5    18297.996356        1166.0  2018
22       48.545997    5    15802.332827        1219.0  2018
23       48.277439    5    15647.624674        1272.0  2018",1260.6741443985197
6,153159.83999999994,145202.78999999995,25225.22437150004,32826.68919599998,4477.507183899985,135523.63885200024,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,19609081932.190784,"    accepted_price  day  segment_demand  segment_hour  year
0        54.963996    6    31597.983822          65.0  2018
1        54.480155    6    31071.093673         130.0  2018
2        54.480155    6    30877.873556         195.0  2018
3        54.480155    6    30841.340341         260.0  2018
4        54.480155    6    30204.850546         325.0  2018
5        54.480155    6    30062.776931         390.0  2018
6        54.480155    6    30020.560771         455.0  2018
7        54.480155    6    29970.226119         520.0  2018
8        54.437123    6    29936.128451         585.0  2018
9        54.437123    6    28379.001631         650.0  2018
10       54.027473    6    27744.947384         715.0  2018
11       53.763223    6    26165.088785         780.0  2018
12       53.763223    6    25853.338681         845.0  2018
13       53.329508    6    23586.655635         910.0  2018
14       53.329508    6    23416.167297         975.0  2018
15       47.250827    6    17309.437401        1040.0  2018
16       47.098626    6    15404.839111        1105.0  2018
17       34.968974    6    10866.601923        1170.0  2018
18       12.086412    6     7561.563714        1235.0  2018
19        9.788650    6     7318.820795        1300.0  2018
20        9.260986    6     6088.057364        1365.0  2018
21        6.161394    6     5220.190539        1430.0  2018
22        8.995438    6     5153.618902        1495.0  2018
23        7.349181    6     4875.966466        1560.0  2018",634.9196904004211
7,252444.0600000001,79691.25000000006,32707.127592799916,38306.24775700007,7427.392847849929,143415.27126640012,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,30.8,-1490979307.7441847,"    accepted_price  day  segment_demand  segment_hour  year
0        60.920224    7    33997.765951          82.0  2018
1        59.487693    7    33788.824457         164.0  2018
2        59.487693    7    33693.132765         246.0  2018
3        60.920224    7    33614.121275         328.0  2018
4        59.255802    7    33127.761663         410.0  2018
5        59.487693    7    33074.209432         492.0  2018
6        59.255802    7    33004.854902         574.0  2018
7        59.073739    7    32644.035768         656.0  2018
8        59.255802    7    32545.710359         738.0  2018
9        57.877976    7    31611.618974         820.0  2018
10       57.877976    7    30094.598379         902.0  2018
11       55.882528    7    28073.660063         984.0  2018
12       55.630686    7    27162.394219        1066.0  2018
13       55.551745    7    26582.976631        1148.0  2018
14       55.551745    7    26489.040749        1230.0  2018
15       50.490691    7    20291.906270        1312.0  2018
16       49.848455    7    18010.230039        1394.0  2018
17       24.713635    7    13723.417790        1476.0  2018
18       14.022649    7    10145.953135        1558.0  2018
19       12.086412    7     9723.680620        1640.0  2018
20       12.086412    7     8679.851055        1722.0  2018
21       10.423716    7     7527.161216        1804.0  2018
22        9.260986    7     6961.790115        1886.0  2018
23        9.260986    7     6708.075444        1968.0  2018",690.2843376674999
8,359666.7999999985,191210.1400000001,23020.55743680004,29579.745223999984,3154.551064599939,165604.86687359976,4966.399999999997,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.8,4780435078.253829,"    accepted_price  day  segment_demand  segment_hour  year
0       300.000000    8    53386.557272          26.0  2019
1       300.000000    8    53249.794546          52.0  2019
2       296.853896    8    49650.129475          78.0  2019
3        84.251043    8    44608.318997         104.0  2019
4        84.776419    8    44572.374948         130.0  2019
5        76.570099    8    41670.550451         156.0  2019
6        76.570099    8    41304.973165         182.0  2019
7        77.866842    8    41276.919273         208.0  2019
8        74.714782    8    41077.911973         234.0  2019
9        73.590849    8    40729.868371         260.0  2019
10       73.590849    8    40613.269380         286.0  2019
11       73.590849    8    40390.591609         312.0  2019
12       73.590849    8    39304.379962         338.0  2019
13       73.195987    8    38354.054356         364.0  2019
14       66.300661    8    32953.680066         390.0  2019
15       64.190770    8    30838.241241         416.0  2019
16       59.635794    8    23531.078950         442.0  2019
17       57.535551    8    20979.928108         468.0  2019
18       56.731031    8    19891.086409         494.0  2019
19       56.731031    8    19500.961967         520.0  2019
20       54.656346    8    17757.237217         546.0  2019
21       54.630030    8    16648.231782         572.0  2019
22       53.976684    8    15250.797266         598.0  2019
23       53.976684    8    14858.919456         624.0  2019",1179.5736470957222
9,322990.5999999994,109267.69000000016,23182.78170150004,29595.668287999964,3122.2863189999775,165604.86687359976,1067.0,0,31912.0,14475.0,8756.1,6983.8,3377.7999999999997,9361.0,670.0,30.8,613675676.8395088,"    accepted_price  day  segment_demand  segment_hour  year
0        77.144989    9    43734.264912          31.0  2019
1        77.144989    9    42603.342374          62.0  2019
2        73.976211    9    37914.835603          93.0  2019
3        73.273009    9    37013.604309         124.0  2019
4        71.595106    9    35024.408000         155.0  2019
5        71.595106    9    34396.702157         186.0  2019
6        71.595106    9    34390.565368         217.0  2019
7        69.226355    9    33392.898819         248.0  2019
8        71.595106    9    33228.082201         279.0  2019
9        69.226355    9    33083.429318         310.0  2019
10       69.089513    9    32440.819845         341.0  2019
11       69.089513    9    32427.669583         372.0  2019
12       66.445616    9    29642.444076         403.0  2019
13       65.351716    9    28493.111171         434.0  2019
14       61.486772    9    24245.576522         465.0  2019
15       60.255408    9    22424.703568         496.0  2019
16       60.156252    9    22166.958431         527.0  2019
17       59.218075    9    21851.352141         558.0  2019
18       58.923372    9    18877.639545         589.0  2019
19       57.215270    9    18574.306833         620.0  2019
20       55.241051    9    17254.020521         651.0  2019
21       53.794340    9    14559.093481         682.0  2019
22       53.830840    9    14192.639511         713.0  2019
23       51.649624    9    13130.975020         744.0  2019",905.2588922906232
